id_saida,id_produto,id_posicao,data,quantidade
1,P003,A-1-03,2026-01-25,3
2,P005,A-1-05,2026-01-25,4
3,P006,A-2-01,2026-01-25,4
4,P007,A-2-02,2026-01-25,9
5,P007,A-2-02,2026-01-25,5
6,P007,A-2-02,2026-01-25,6
7,P008,A-2-03,2026-01-25,4
8,P009,A-2-04,2026-01-25,7
9,P009,A-2-04,2026-01-25,9
10,P009,A-2-04,2026-01-25,7
11,P009,A-2-04,2026-01-25,1
12,P009,A-2-04,2026-01-25,1
13,P009,A-2-04,2026-01-25,9
14,P009,A-2-04,2026-01-25,9
15,P009,A-2-04,2026-01-25,4
16,P009,A-2-04,2026-01-25,9
17,P009,A-2-04,2026-01-25,3
18,P009,A-2-04,2026-01-25,7
19,P009,A-2-04,2026-01-25,6
20,P009,A-2-04,2026-01-25,8
21,P009,A-2-04,2026-01-25,9
22,P009,A-2-04,2026-01-25,5
23,P010,A-2-05,2026-01-25,6
24,P010,A-2-05,2026-01-25,8
25,P011,B-1-01,2026-01-25,1
26,P013,B-1-03,2026-01-25,5
27,P013,B-1-03,2026-01-25,1
28,P014,B-1-04,2026-01-25,1
29,P014,B-1-04,2026-01-25,1
30,P014,B-1-04,2026-01-25,3
31,P014,B-1-04,2026-01-25,2
32,P015,B-1-05,2026-01-25,7
33,P015,B-1-05,2026-01-25,4
34,P019,B-2-04,2026-01-25,1
35,P019,B-2-04,2026-01-25,9
36,P019,B-2-04,2026-01-25,6
37,P020,B-2-05,2026-01-25,9
38,P020,B-2-05,2026-01-25,1
39,P020,B-2-05,2026-01-25,8
40,P020,B-2-05,2026-01-25,7
41,P020,B-2-05,2026-01-25,2
42,P020,B-2-05,2026-01-25,8
43,P020,B-2-05,2026-01-25,1
44,P001,A-1-01,2026-01-26,3
45,P001,A-1-01,2026-01-26,7
46,P002,A-1-02,2026-01-26,1
47,P002,A-1-02,2026-01-26,2
48,P003,A-1-03,2026-01-26,9
49,P003,A-1-03,2026-01-26,3
50,P003,A-1-03,2026-01-26,3
51,P003,A-1-03,2026-01-26,3
52,P004,A-1-04,2026-01-26,1
53,P005,A-1-05,2026-01-26,8
54,P006,A-2-01,2026-01-26,3
55,P007,A-2-02,2026-01-26,9
56,P009,A-2-04,2026-01-26,6
57,P009,A-2-04,2026-01-26,3
58,P009,A-2-04,2026-01-26,9
59,P009,A-2-04,2026-01-26,4
60,P009,A-2-04,2026-01-26,1
61,P009,A-2-04,2026-01-26,4
62,P010,A-2-05,2026-01-26,4
63,P012,B-1-02,2026-01-26,3
64,P012,B-1-02,2026-01-26,6
65,P013,B-1-03,2026-01-26,6
66,P014,B-1-04,2026-01-26,3
67,P014,B-1-04,2026-01-26,4
68,P014,B-1-04,2026-01-26,3
69,P014,B-1-04,2026-01-26,1
70,P014,B-1-04,2026-01-26,1
71,P014,B-1-04,2026-01-26,5
72,P014,B-1-04,2026-01-26,6
73,P014,B-1-04,2026-01-26,3
74,P015,B-1-05,2026-01-26,3
75,P015,B-1-05,2026-01-26,1
76,P015,B-1-05,2026-01-26,4
77,P016,B-2-01,2026-01-26,7
78,P018,B-2-03,2026-01-26,6
79,P019,B-2-04,2026-01-26,6
80,P019,B-2-04,2026-01-26,7
81,P020,B-2-05,2026-01-26,7
82,P020,B-2-05,2026-01-26,3
83,P020,B-2-05,2026-01-26,2
84,P020,B-2-05,2026-01-26,9
85,P020,B-2-05,2026-01-26,8
86,P020,B-2-05,2026-01-26,7
87,P020,B-2-05,2026-01-26,9
88,P001,A-1-01,2026-01-27,8
89,P002,A-1-02,2026-01-27,2
90,P002,A-1-02,2026-01-27,2
91,P002,A-1-02,2026-01-27,7
92,P003,A-1-03,2026-01-27,6
93,P003,A-1-03,2026-01-27,6
94,P007,A-2-02,2026-01-27,8
95,P008,A-2-03,2026-01-27,4
96,P008,A-2-03,2026-01-27,6
97,P009,A-2-04,2026-01-27,4
98,P009,A-2-04,2026-01-27,2
99,P009,A-2-04,2026-01-27,3
100,P009,A-2-04,2026-01-27,1
101,P009,A-2-04,2026-01-27,8
102,P009,A-2-04,2026-01-27,3
103,P009,A-2-04,2026-01-27,7
104,P009,A-2-04,2026-01-27,5
105,P009,A-2-04,2026-01-27,5
106,P009,A-2-04,2026-01-27,7
107,P010,A-2-05,2026-01-27,1
108,P010,A-2-05,2026-01-27,2
109,P013,B-1-03,2026-01-27,7
110,P013,B-1-03,2026-01-27,5
111,P014,B-1-04,2026-01-27,5
112,P014,B-1-04,2026-01-27,1
113,P014,B-1-04,2026-01-27,4
114,P014,B-1-04,2026-01-27,5
115,P014,B-1-04,2026-01-27,5
116,P015,B-1-05,2026-01-27,5
117,P016,B-2-01,2026-01-27,3
118,P016,B-2-01,2026-01-27,1
119,P016,B-2-01,2026-01-27,8
120,P020,B-2-05,2026-01-27,2
121,P020,B-2-05,2026-01-27,3
122,P020,B-2-05,2026-01-27,1
123,P020,B-2-05,2026-01-27,1
124,P001,A-1-01,2026-01-28,8
125,P001,A-1-01,2026-01-28,2
126,P001,A-1-01,2026-01-28,3
127,P002,A-1-02,2026-01-28,8
128,P003,A-1-03,2026-01-28,3
129,P003,A-1-03,2026-01-28,9
130,P005,A-1-05,2026-01-28,8
131,P007,A-2-02,2026-01-28,5
132,P008,A-2-03,2026-01-28,7
133,P008,A-2-03,2026-01-28,8
134,P008,A-2-03,2026-01-28,7
135,P008,A-2-03,2026-01-28,5
136,P009,A-2-04,2026-01-28,7
137,P009,A-2-04,2026-01-28,9
138,P009,A-2-04,2026-01-28,3
139,P009,A-2-04,2026-01-28,9
140,P009,A-2-04,2026-01-28,1
141,P009,A-2-04,2026-01-28,1
142,P009,A-2-04,2026-01-28,4
143,P010,A-2-05,2026-01-28,9
144,P010,A-2-05,2026-01-28,3
145,P010,A-2-05,2026-01-28,9
146,P012,B-1-02,2026-01-28,5
147,P012,B-1-02,2026-01-28,5
148,P012,B-1-02,2026-01-28,3
149,P013,B-1-03,2026-01-28,5
150,P013,B-1-03,2026-01-28,7
151,P014,B-1-04,2026-01-28,3
152,P014,B-1-04,2026-01-28,7
153,P014,B-1-04,2026-01-28,2
154,P014,B-1-04,2026-01-28,9
155,P014,B-1-04,2026-01-28,1
156,P019,B-2-04,2026-01-28,5
157,P019,B-2-04,2026-01-28,6
158,P020,B-2-05,2026-01-28,6
159,P020,B-2-05,2026-01-28,7
160,P020,B-2-05,2026-01-28,3
161,P020,B-2-05,2026-01-28,7
162,P020,B-2-05,2026-01-28,3
163,P020,B-2-05,2026-01-28,2
164,P020,B-2-05,2026-01-28,4
165,P020,B-2-05,2026-01-28,8
166,P002,A-1-02,2026-01-29,9
167,P002,A-1-02,2026-01-29,1
168,P005,A-1-05,2026-01-29,5
169,P007,A-2-02,2026-01-29,3
170,P007,A-2-02,2026-01-29,4
171,P009,A-2-04,2026-01-29,1
172,P009,A-2-04,2026-01-29,5
173,P009,A-2-04,2026-01-29,6
174,P009,A-2-04,2026-01-29,6
175,P009,A-2-04,2026-01-29,3
176,P009,A-2-04,2026-01-29,7
177,P012,B-1-02,2026-01-29,8
178,P012,B-1-02,2026-01-29,4
179,P012,B-1-02,2026-01-29,8
180,P013,B-1-03,2026-01-29,9
181,P013,B-1-03,2026-01-29,4
182,P014,B-1-04,2026-01-29,9
183,P014,B-1-04,2026-01-29,2
184,P014,B-1-04,2026-01-29,8
185,P014,B-1-04,2026-01-29,2
186,P014,B-1-04,2026-01-29,5
187,P014,B-1-04,2026-01-29,7
188,P014,B-1-04,2026-01-29,8
189,P014,B-1-04,2026-01-29,1
190,P014,B-1-04,2026-01-29,6
191,P014,B-1-04,2026-01-29,1
192,P015,B-1-05,2026-01-29,9
193,P015,B-1-05,2026-01-29,6
194,P015,B-1-05,2026-01-29,1
195,P016,B-2-01,2026-01-29,7
196,P016,B-2-01,2026-01-29,6
197,P016,B-2-01,2026-01-29,1
198,P018,B-2-03,2026-01-29,3
199,P018,B-2-03,2026-01-29,1
200,P018,B-2-03,2026-01-29,5
201,P019,B-2-04,2026-01-29,3
202,P020,B-2-05,2026-01-29,8
203,P020,B-2-05,2026-01-29,7
204,P020,B-2-05,2026-01-29,2
205,P020,B-2-05,2026-01-29,6
206,P001,A-1-01,2026-01-30,6
207,P001,A-1-01,2026-01-30,5
208,P003,A-1-03,2026-01-30,5
209,P003,A-1-03,2026-01-30,5
210,P003,A-1-03,2026-01-30,2
211,P004,A-1-04,2026-01-30,2
212,P007,A-2-02,2026-01-30,2
213,P008,A-2-03,2026-01-30,7
214,P008,A-2-03,2026-01-30,3
215,P008,A-2-03,2026-01-30,1
216,P009,A-2-04,2026-01-30,8
